x;r_branch;ale;branch;Duplications;Transfers;Losses;Originations;Copies
33;0;S_terminal_branches;32;0.000002;0;0.000469;0.419911;0.419444
32;1;S_terminal_branches;31;0.000004;0.055513;0.005682;0.112176;0.581455
31;2;S_terminal_branches;30;0.000006;0.059714;0.028535;0.062675;0.670241
25;3;S_terminal_branches;24;0.000007;0.345411;0.242722;0.026356;0.910292
24;4;S_terminal_branches;23;0.00001;0.204288;0.136045;0.014587;0.957467
22;5;S_terminal_branches;21;0.000003;0.140117;0.073603;0.007113;0.974603
20;6;S_terminal_branches;19;0.00001;0.234025;0.216463;0.012603;0.83434
19;7;S_terminal_branches;18;0.000001;0.014333;0.014726;0.001037;1.007.664
18;8;S_terminal_branches;17;2.5e-05;0.270184;0.135988;0.008475;1.002.072
2;9;S_terminal_branches;Hylacinerea;0;0.009544;0.01796;0.000752;1
3;10;S_terminal_branches;Hylaversicolor;0;0.009514;0.017881;0.000703;1
16;11;S_terminal_branches;Smiliscabaudinii;0;0.011748;0.019475;0.000708;1
7;12;S_terminal_branches;Phrynohyasvenulosa;2.1e-05;0.074314;0.049505;0.001448;1
21;13;S_terminal_branches;20;0.000002;0.117944;0.117478;0.007414;0.921098
5;14;S_terminal_branches;Leptodactylusmystaceus;0.000005;0.416756;0.214395;0.004315;1
6;15;S_terminal_branches;Litoriagracilenta;0.000007;0.707027;0.505779;0.006582;1
23;16;S_terminal_branches;22;0.000006;0.211299;0.119901;0.006889;1.004.603
1;17;S_terminal_branches;Buforegularis;0.000001;0.015909;0.018842;0.00086;1
15;18;S_terminal_branches;Schismadermacarens;0;0.015958;0.01898;0.00095;1
8;19;S_terminal_branches;Physalaemuscuvieri;0.000005;0.573727;0.271762;0.005688;1
30;20;S_terminal_branches;29;1.8e-05;0.101644;0.053802;0.076933;0.765457
29;21;S_terminal_branches;28;1.8e-05;0.124158;0.044979;0.045924;0.856241
27;22;S_terminal_branches;26;0.000002;0.159783;0.145642;0.02393;0.81047
26;23;S_terminal_branches;25;0.000005;0.256317;0.160273;0.024591;0.860238
12;24;S_terminal_branches;Rhacophorusarboreus;0;0.01112;0.018815;0.000782;1
14;25;S_terminal_branches;Rhacophorusomeimontis;0;0.010482;0.018814;0.00074;1
13;26;S_terminal_branches;Rhacophorusmaximus;0;0.01752;0.023592;0.00088;1
28;27;S_terminal_branches;27;0.000004;0.117131;0.08919;0.024597;0.830566
10;28;S_terminal_branches;Ranarugosa;0.000005;0.35467;0.243655;0.005999;1
11;29;S_terminal_branches;Ranatemporaria;2.6e-05;0.736124;0.642755;0.023624;1
17;30;S_terminal_branches;Strongylopusfasciatus;1.3e-05;0.497436;0.266312;0.059859;1
9;31;S_terminal_branches;Ptychadenaanchietae;0.000001;0.281536;0.021966;0.003572;1
4;32;S_terminal_branches;Hyperoliusviridiflavus;0.000003;0.416637;0.022358;0.007327;1